file,header,year,seq_len,uncompressed_bytes,zlib_bytes,compression_ratio,bytes_per_base,bits_per_base,two_bit_bytes,ratio_vs_2bit,excess_bits_per_base,overhead_bits_hat,bits_per_base_corrected
hcov-19_2026_02_14_16.fasta,hCoV-19/Scotland/QEUH-1236A68/2021|EPI_ISL_1108361|2021-02-08,2021,29779,29779,8909,0.2991705564323852,0.2991705564323852,2.3933644514590817,7445,1.1966420416386836,0.3933644514590817,14538.0,1.9051680714597534
hcov-19_2026_02_14_16.fasta,hCoV-19/Denmark/DCGC-40742/2021|EPI_ISL_972419|2021-01-25,2021,29782,29782,8921,0.29954334833120677,0.29954334833120677,2.396346786649654,7446,1.1980929358044587,0.39634678664965417,14508.0,1.9092069034987575
hcov-19_2026_02_14_16.fasta,hCoV-19/England/ALDP-12EAE2B/2021|EPI_ISL_1101353|2021-02-19,2021,29763,29763,8908,0.29929778584148103,0.29929778584148103,2.3943822867318483,7441,1.1971509205751916,0.3943822867318483,14522.0,1.9064610422336459
hcov-19_2026_02_14_16.fasta,hCoV-19/Netherlands/OV-RIVM-13460/2021|EPI_ISL_1089445|2021-01-26,2021,29763,29763,8909,0.29933138460504655,0.29933138460504655,2.3946510768403724,7441,1.1972853111140975,0.3946510768403724,14522.0,1.9067298323421698
hcov-19_2026_02_14_16.fasta,hCoV-19/India/GJ-ICMR-NIV-INSACOG-VOC-654/2020|EPI_ISL_1704291|2020-12-28,2020,29792,29792,8897,0.2986372180451128,0.2986372180451128,2.3890977443609023,7448,1.1945488721804511,0.3890977443609023,14548.0,1.9007787325456498
hcov-19_2026_02_14_16.fasta,hCoV-19/India/MH-ICMR-NIV-INSACOG-277856/2020|EPI_ISL_1704327|2020-12-10,2020,29800,29800,8885,0.2981543624161074,0.2981543624161074,2.385234899328859,7450,1.1926174496644295,0.385234899328859,14528.0,1.897718120805369
hcov-19_2026_02_14_16.fasta,hCoV-19/Wales/PHWC-4CE811/2021|EPI_ISL_1106391|2021-02-15,2021,29790,29790,8910,0.2990936555891239,0.2990936555891239,2.392749244712991,7448,1.1962943071965628,0.392749244712991,14488.0,1.9064115474991608
hcov-19_2026_02_14_16.fasta,hCoV-19/England/MILK-AC77BB/2020|EPI_ISL_630273|2020-10-21,2020,29782,29782,8910,0.29917399771674164,0.29917399771674164,2.393391981733933,7446,1.1966156325543915,0.3933919817339331,14508.0,1.9062520985830367
hcov-19_2026_02_14_16.fasta,hCoV-19/England/RAND-12CDD4F/2021|EPI_ISL_1102162|2021-02-10,2021,29763,29763,8912,0.299432180895743,0.299432180895743,2.395457447165944,7441,1.1976884827308159,0.3954574471659442,14522.0,1.9075362026677418
hcov-19_2026_02_14_16.fasta,hCoV-19/Denmark/ALAB-SSI-723/2020|EPI_ISL_444874|2020-03-28,2020,29782,29782,8912,0.29924115237391713,0.29924115237391713,2.393929218991337,7446,1.196884233145313,0.39392921899133704,14508.0,1.9067893358404406
hcov-19_2026_02_14_16.fasta,hCoV-19/England/CAMC-12DF946/2021|EPI_ISL_1099876|2021-02-21,2021,29763,29763,8883,0.2984578167523435,0.2984578167523435,2.387662534018748,7441,1.19379115710254,0.38766253401874806,14522.0,1.8997412895205457
hcov-19_2026_02_14_16.fasta,hCoV-19/Turkey/HSGM-D151/2021|EPI_ISL_1097302|2021-02-11,2021,29896,29896,8934,0.29883596467754886,0.29883596467754886,2.390687717420391,7474,1.1953438587101954,0.3906877174203909,14556.0,1.9037998394434037
hcov-19_2026_02_14_16.fasta,hCoV-19/Italy/CAM-AMES-14-60/2021|EPI_ISL_1096509|2021-02-22,2021,29863,29863,8865,0.29685564075946824,0.29685564075946824,2.374845126075746,7466,1.187382802035896,0.37484512607574594,14594.0,1.8861467367645581
hcov-19_2026_02_14_16.fasta,hCoV-19/USA/CA-CDC-STM-000011017/2021|EPI_ISL_1089198|2021-02-09,2021,29856,29856,8903,0.29819801714898175,0.29819801714898175,2.385584137191854,7464,1.192792068595927,0.385584137191854,14532.0,1.8988478027867095
hcov-19_2026_02_14_16.fasta,hCoV-19/USA/OR-OHSU-2872/2020|EPI_ISL_667375|2020-09-03,2020,29849,29849,8900,0.2981674427954035,0.2981674427954035,2.385339542363228,7463,1.192549912903658,0.3853395423632282,14570.0,1.8972159871352474
hcov-19_2026_02_14_16.fasta,hCoV-19/France/un-HMN-21022150285/2021|EPI_ISL_1085760|2021-02-10,2021,29802,29802,8919,0.29927521642842764,0.29927521642842764,2.394201731427421,7451,1.197020534156489,0.3942017314274211,14528.0,1.9067176699550366
hcov-19_2026_02_14_16.fasta,hCoV-19/France/un-HMN-21022180453/2021|EPI_ISL_1085325|2021-02-15,2021,29811,29811,8926,0.29941967730032537,0.29941967730032537,2.395357418402603,7453,1.197638534818194,0.39535741840260297,14518.0,1.9083559759820201
hcov-19_2026_02_14_16.fasta,hCoV-19/Switzerland/VS-33258772/2021|EPI_ISL_1084883|2021-02-07,2021,29851,29851,8937,0.2993869552108807,0.2993869552108807,2.3950956416870457,7463,1.1975077046764036,0.3950956416870457,14594.0,1.9062007972932231
